StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,consent,Q3: search,Q4: queries_1,Q4: queries_2,Q4: queries_3,your behavior w/IP_1,you IP HS_1,you IP HS_2,you IP HS_3,you IP HS_4,you IP HS_5,you IP HS_6,you IP HS_7,Q95,user behavior IP_1,user IP HS_1,user IP HS_2,user IP HS_3,user IP HS_4,user IP HS_5,user IP HS_6,user IP HS_7,Q96,your behavior noIP_11,you no IP HS_1,you no IP HS_2,you no IP HS_3,you no IP HS_4,you no IP HS_5,you no IP HS_6,Q97,user behavior noIP_1,user no IP HS_1,user no IP HS_2,user no IP HS_3,user no IP HS_4,user no IP HS_5,user no IP HS_6,Q98,Q1: news freq_1,Q7: age,Q8: gender,Q8: gender_3_TEXT,Q9: politics,Q10: education,feedback,random id,condition,Create New Field or Choose From Dropdown...,queries_2 - Parent Topics,queries_2 - Sentiment Polarity,queries_2 - Sentiment Score,queries_2 - Sentiment,queries_2 - Topic Sentiment Label,queries_2 - Topic Sentiment Score,queries_2 - Topics,code
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Do you consent to participate in this research study?,Have you ever searched for conspiracy theory topics?,"Please think of any conspiracy theory topics, then enter below three phrases that you have used or would use to search for those topics. - Phrase #1","Please think of any conspiracy theory topics, then enter below three phrases that you have used or would use to search for those topics. - Phrase #2","Please think of any conspiracy theory topics, then enter below three phrases that you have used or would use to search for those topics. - Phrase #3","If you came across this video on YouTube, do you think you would be inclined to watch the entire thing?","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
Indicate your preference for at least 3 information boxes. - time","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
Indicate your preference for at least 3 information boxes. - title","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
Indicate your preference for at least 3 information boxes. - views","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
Indicate your preference for at least 3 information boxes. - date","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
Indicate your preference for at least 3 information boxes. - IP","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
Indicate your preference for at least 3 information boxes. - like/dislike","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
Indicate your preference for at least 3 information boxes. - channel info",Did you select at least three areas in the above question?,"If the typical YouTube user came across this video on YouTube, do you think they would be inclined to watch the entire thing? Predict their behavior.","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - time","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - title","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - views","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - date","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - IP","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - like/dislike","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - channel info",Did you select at least three areas in the above question?,"If you came across this video on YouTube, do you think you would be inclined to watch the entire thing?","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
 Indicate your preference for at least 3 information boxes. - time","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
 Indicate your preference for at least 3 information boxes. - title","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
 Indicate your preference for at least 3 information boxes. - views","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
 Indicate your preference for at least 3 information boxes. - date","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
 Indicate your preference for at least 3 information boxes. - like/dislike","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that you would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that you would not use that information. 
 Indicate your preference for at least 3 information boxes. - channel info",Did you select at least three areas in the above question?,"If the typical YouTube user came across this video on YouTube, do you think they would be inclined to watch the entire thing? Predict their behavior.","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - time","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - title","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - views","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - date","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - like/dislike","As in the above demonstration, find the seven clickable YouTube information outlined in black that you might use to indicate credibility of the content. 
 Click once (or turn it green) to indicate that the typical YouTube user would use that information to determine credibility of the content. Click twice (or turn it red) to indicate that typical YouTube user would not use that information. 
 Indicate your preference for at least 3 information boxes. - channel info",Did you select at least three areas in the above question?,How often do you get your news from YouTube? - 1,What is your age range?,What is your gender? - Selected Choice,What is your gender? - Other - Text,What is your political affiliation?,What is the highest education level you've completed?,You also have the option to submit anonymous feedback in the text box below. Any feedback for how to improve this survey is appreciated!,random id,condition,Create New Field or Choose From Dropdown...,queries_2 - Parent Topics,queries_2 - Sentiment Polarity,queries_2 - Sentiment Score,queries_2 - Sentiment,queries_2 - Topic Sentiment Label,queries_2 - Topic Sentiment Score,queries_2 - Topics,code
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID44""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""QID41_3""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID112_7""}","{""ImportId"":""QID112_8""}","{""ImportId"":""QID112_9""}","{""ImportId"":""QID112_10""}","{""ImportId"":""QID112_11""}","{""ImportId"":""QID112_12""}","{""ImportId"":""QID112_13""}","{""ImportId"":""QID121""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID113_7""}","{""ImportId"":""QID113_8""}","{""ImportId"":""QID113_9""}","{""ImportId"":""QID113_10""}","{""ImportId"":""QID113_11""}","{""ImportId"":""QID113_12""}","{""ImportId"":""QID113_13""}","{""ImportId"":""QID122""}","{""ImportId"":""QID55_11""}","{""ImportId"":""QID114_7""}","{""ImportId"":""QID114_8""}","{""ImportId"":""QID114_9""}","{""ImportId"":""QID114_10""}","{""ImportId"":""QID114_11""}","{""ImportId"":""QID114_12""}","{""ImportId"":""QID123""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID115_7""}","{""ImportId"":""QID115_8""}","{""ImportId"":""QID115_9""}","{""ImportId"":""QID115_10""}","{""ImportId"":""QID115_11""}","{""ImportId"":""QID115_12""}","{""ImportId"":""QID124""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID89""}","{""ImportId"":""QID90""}","{""ImportId"":""QID90_3_TEXT""}","{""ImportId"":""QID91""}","{""ImportId"":""QID92""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""random id""}","{""ImportId"":""condition""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}","{""ImportId"":""QID41_2_5af0a50c088f432a9100eb95ParTopics""}","{""ImportId"":""QID41_2_5af0a50c088f432a9100eb95SenPol""}","{""ImportId"":""QID41_2_5af0a50c088f432a9100eb95SenScore""}","{""ImportId"":""QID41_2_5af0a50c088f432a9100eb95Sentiment""}","{""ImportId"":""QID41_2_5af0a50c088f432a9100eb95TopicSenLabel""}","{""ImportId"":""QID41_2_5af0a50c088f432a9100eb95TopicSenScore""}","{""ImportId"":""QID41_2_5af0a50c088f432a9100eb95Topics""}","{""ImportId"":""code_CEDa7wcy01""}"
2021-12-21 15:36:54,2021-12-21 15:40:31,IP Address,100,216,True,2021-12-21 15:40:31,R_1gN2uLWAuRGiW9N,anonymous,EN,Yes,Yes,Rock melting in India,Free energy machines,Levitation devices,,,,,,,,,,,,,,,,,,,10,Like,Like,Dislike,Like,Dislike,Dislike,,,,,,,,,,8,50-59,Male,,Hard right,High school,,711617,3,,,0,0,Neutral,,,Unknown,
2021-12-21 15:49:08,2021-12-21 15:51:37,IP Address,100,148,True,2021-12-21 15:51:37,R_2CeoKS9x0WTz0hC,anonymous,EN,Yes,Yes,Flat earthers,Who killed JFK?,Where is Bigfoot?,,,,,,,,,,7,Neutral,Neutral,Neutral,Neutral,Dislike,Neutral,Neutral,,,,,,,,,,,,,,,,,,5,50-59,Male,,Lean left,High school,,957401,2,,,0,0,Neutral,,,Unknown,
2021-12-21 15:59:00,2021-12-21 16:00:51,IP Address,100,111,True,2021-12-21 16:00:51,R_28ZDKMxdA3sPpqK,anonymous,EN,Yes,Yes,chips in vaccine,Kennedy assasination,No moon landing,,,,,,,,,,3,Neutral,Neutral,Neutral,Neutral,Dislike,Neutral,Neutral,,,,,,,,,,,,,,,,,,2,50-59,Male,,Hard left,Bachelor's degree,,431801,2,,,0,0,Neutral,,,Unknown,
2021-12-21 16:07:49,2021-12-21 16:09:44,IP Address,100,115,True,2021-12-21 16:09:44,R_2CCXN8PqHmGrKYu,anonymous,EN,Yes,No,qanon,jfk,aliens,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Neutral,Neutral,Neutral,Neutral,Like,Like,,0,40-49,Male,,Hard left,High school,,447805,4,,,0,0,Neutral,,,Unknown,
2021-12-21 16:22:42,2021-12-21 16:28:17,IP Address,100,335,True,2021-12-21 16:28:17,R_3FRnpQ9y4d3TmIt,anonymous,EN,Yes,Yes,Who are lizard people?,Moon Hoax,Are UFO's being hidden by the government,3,Like,Like,Dislike,Dislike,Like,Like,Like,,,,,,,,,,,,,,,,,,,,,,,,,,,5,40-49,Female,,Hard right,Bachelor's degree,,557327,1,,,0,0,Neutral,,,Unknown,
2021-12-21 16:58:44,2021-12-21 17:00:41,IP Address,100,116,True,2021-12-21 17:00:41,R_2zoxux3nASCu16I,anonymous,EN,Yes,Yes,jfk assassination,mkultra,jeffrey epstein murdered,,,,,,,,,,,,,,,,,,,,,,,,,,,6,Neutral,Neutral,Neutral,Neutral,Like,Neutral,,1,30-39,Male,,Hard right,Bachelor's degree,,141477,4,,,0,0,Neutral,,,Unknown,
2021-12-21 17:36:05,2021-12-21 17:41:18,IP Address,100,312,True,2021-12-21 17:41:18,R_3nkgvj8lBSBmdTy,anonymous,EN,Yes,Yes,alien abduction,vaccine misconceptions,government tracking,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Neutral,Neutral,Neutral,Neutral,Neutral,Like,,2,40-49,Female,,Lean left,"Graduate degree (M.D., J.D., PhD, etc.)",no comments,755227,4,,,0,-1,Negative,,,Unknown,
2021-12-21 18:33:23,2021-12-21 18:35:14,IP Address,100,110,True,2021-12-21 18:35:14,R_2YKSUL4kRstPPta,anonymous,EN,Yes,No,moon landing,"JFK shooting ",COVID cell phone,,,,,,,,,,,,,,,,,,,0,Neutral,Neutral,Neutral,Neutral,Dislike,Neutral,,,,,,,,,,0,30-39,Male,,Lean left,"Graduate degree (M.D., J.D., PhD, etc.)"," ",179764,3,,,0,0,Neutral,,,Unknown,
