topic,query,count
apocalypse,the world is ending soon.,1
biden presidency,ukraine connection biden,1
january 6th,jan 6,1
birds are fake,birds,1
tupac death,tupac death,1
hitler death,hitler death,1
missing planes,mh370 missing landed on island,1
wayfair,wayfair pedophile,1
boston marathon,boston marathon,1
leviation devices,levitation devices,1
free energy machines,free energy machines,1
rock melting in india,rock melting in india,1
agenda 2030,agenda 2030,2
flu,flu disappeared,1
mandela effect,mandela effect,2
cryptocurrency,who is behind bitcoin?,1
david icke,david icke,1
fake planes,what is it really when planes fly in the air,1
philadelphia experiment,philadelphia experiment,1
project bluebeam,project bluebeam,1
gulf of tonkin,the gulf of tonkin incident,1
mlb,mlb rigged,1
dorothy kilagallen death,dorothy kilgallen cause of death,1
edward snowden,edward snowden,1
simulation theory,simulation theory,1
satanic rituals,satanic panic,1
free will,free will doesn't exist,1
big pharma,pharma,1
judge daniel paul schreber,judge daniel paul schreber,1
dark web,dark web,1
anthony bourdain death,anthony bourdain murder conspiracy,1
mind control,mind control weapon,1
red cross scam,red cross scam,1
time travelers,time travelers,1
white genocide,white genocide,1
michael jackson death,michael jackson still alive,1
denver airport,denver airport,1
barrel oil,barrel oil conspiracies,1
biblical cosmology,biblical cosmology,1
mud flood,mud flood,1
soros,george soros,1
soros,soros,1
obama presidency,obama birth certificate,1
obama presidency,michelle obama male,1
vegas shooting,las vegas shooting cia,1
vegas shooting,vegas massacre conspiracy,1
false flags,false flag,1
false flags,cia false flags,1
gerrymandering,gerrymandering,1
gerrymandering,redlining,1
jimmy hoffa death,jimmy hoffa death,1
jimmy hoffa death,hoffa alive,1
food control,what kind of chemicals are being put in our food,1
food control,how are hot dogs really made,1
stock market,stock market scam,1
stock market,is the stock market rigged?,1
nba,nba draft frozen envelope,1
nba,was the ping pong ball that david stern chose when patrick ewing was in the draft frozen beforehand?,1
celebrity deaths,celebrity deaths,1
celebrity deaths,celebrities that faked their death,1
disney,walt disney frozen,1
disney,subliminal message is dinsey movies,1
biolabs,ukraine biolabs,1
biolabs,secret biolabs,1
hunter biden,hunter's laptop,1
hunter biden,hunter biden's laptop,1
clinton presidency,clinton,1
clinton presidency,the clintons are lizards,1
clinton presidency,white water,1
china,china tik tok dumbing down other countries,1
china,usa democrats are owned by chinese,1
china,tiktok,1
immigration,illegal immigrants allowed to vote,1
immigration,migrant caravan,1
immigration,fema tents,1
bermuda triangle,bermuda theories,1
bermuda triangle,bermuda triangle conspiracy,1
bermuda triangle,bermuda triangle,1
elvis,elvis is still alive,1
elvis,elvis is alive,1
elvis,elvis not really dead,1
clones of prominent figures,celebrity clones,1
clones of prominent figures,president body double,1
clones of prominent figures,melania trump double,1
oklahoma bombing,okc bombing second suspect,1
oklahoma bombing,timothy mcveigh black ops,1
oklahoma bombing,"aberration in the heartland of the real: the secret lives of timothy mcveigh by wendy s. painting, phd",1
